member_id	first_name	last_name	position	iso2c	country	group_code	group_label	group_short_label
197490	Magdalena	ADAMOWICZ	For	PL	Poland	EPP	European People’s Party	EPP
189525	Asim	ADEMOV	For	BG	Bulgaria	EPP	European People’s Party	EPP
124831	Isabella	ADINOLFI	Did Not Vote	IT	Italy	EPP	European People’s Party	EPP
197826	Matteo	ADINOLFI	Did Not Vote	IT	Italy	ID	Identity and Democracy	ID
197403	Alex	AGIUS SALIBA	Did Not Vote	MT	Malta	SD	Progressive Alliance of Socialists and Democrats	S&D
198096	Mazaly	AGUILAR	For	ES	Spain	ECR	European Conservatives and Reformists	ECR
125045	Clara	AGUILERA	For	ES	Spain	SD	Progressive Alliance of Socialists and Democrats	S&D
197400	Abir	AL-SAHLANI	For	SE	Sweden	RENEW	Renew Europe	Renew
204335	Alviina	ALAMETSÄ	For	FI	Finland	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
237224	João	ALBUQUERQUE	For	PT	Portugal	SD	Progressive Alliance of Socialists and Democrats	S&D
197836	Alexander	ALEXANDROV YORDANOV	For	BG	Bulgaria	EPP	European People’s Party	EPP
96750	François	ALFONSI	For	FR	France	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
197848	Atidzhe	ALIEVA-VELI	For	BG	Bulgaria	RENEW	Renew Europe	Renew
247122	Catherine	AMALRIC	For	FR	France	RENEW	Renew Europe	Renew
197783	Andris	AMERIKS	For	LV	Latvia	SD	Progressive Alliance of Socialists and Democrats	S&D
197475	Christine	ANDERSON	Against	DE	Germany	ID	Identity and Democracy	ID
197448	Rasmus	ANDRESEN	For	DE	Germany	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
204332	Barry	ANDREWS	For	IE	Ireland	RENEW	Renew Europe	Renew
197691	Mathilde	ANDROUËT	Against	FR	France	ID	Identity and Democracy	ID
202073	Marc	ANGEL	For	LU	Luxembourg	SD	Progressive Alliance of Socialists and Democrats	S&D
124973	Gerolf	ANNEMANS	Against	BE	Belgium	ID	Identity and Democracy	ID
124696	Andrus	ANSIP	For	EE	Estonia	RENEW	Renew Europe	Renew
197587	Attila	ARA-KOVÁCS	For	HU	Hungary	SD	Progressive Alliance of Socialists and Democrats	S&D
124936	Maria	ARENA	For	BE	Belgium	SD	Progressive Alliance of Socialists and Democrats	S&D
96808	Pablo	ARIAS ECHEVERRÍA	For	ES	Spain	EPP	European People’s Party	EPP
24922	Pascal	ARIMONT	For	BE	Belgium	EPP	European People’s Party	EPP
197701	Konstantinos	ARVANITIS	Did Not Vote	GR	Greece	GUE_NGL	The Left in the European Parliament – GUE/NGL	GUE/NGL
197695	Anna-Michelle	ASIMAKOPOULOU	For	GR	Greece	EPP	European People’s Party	EPP
197533	Manon	AUBRY	Against	FR	France	GUE_NGL	The Left in the European Parliament – GUE/NGL	GUE/NGL
28161	Margrete	AUKEN	For	DK	Denmark	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
124766	Petras	AUŠTREVIČIUS	For	LT	Lithuania	RENEW	Renew Europe	Renew
197651	Carmen	AVRAM	Did Not Vote	RO	Romania	SD	Progressive Alliance of Socialists and Democrats	S&D
197781	Malik	AZMANI	For	NL	Netherlands	RENEW	Renew Europe	Renew
247735	Laura	BALLARÍN CEREZA	For	ES	Spain	SD	Progressive Alliance of Socialists and Democrats	S&D
197495	Marek Paweł	BALT	For	PL	Poland	SD	Progressive Alliance of Socialists and Democrats	S&D
131580	Jordan	BARDELLA	Did Not Vote	FR	France	ID	Identity and Democracy	ID
197433	Katarina	BARLEY	For	DE	Germany	SD	Progressive Alliance of Socialists and Democrats	S&D
197808	Pietro	BARTOLO	Did Not Vote	IT	Italy	SD	Progressive Alliance of Socialists and Democrats	S&D
197610	Alessandra	BASSO	Against	IT	Italy	ID	Identity and Democracy	ID
197779	José Ramón	BAUZÁ DÍAZ	For	ES	Spain	RENEW	Renew Europe	Renew
124760	Nicolas	BAY	Against	FR	France	ECR	European Conservatives and Reformists	ECR
132191	Gunnar	BECK	Against	DE	Germany	ID	Identity and Democracy	ID
254719	Vasco	BECKER-WEINBERG	For	PT	Portugal	EPP	European People’s Party	EPP
124777	Tiziana	BEGHIN	For	IT	Italy	NI	Non-attached Members	Non-attached
197680	Aurélia	BEIGNEUX	Against	FR	France	ID	Identity and Democracy	ID
197496	Marek	BELKA	For	PL	Poland	SD	Progressive Alliance of Socialists and Democrats	S&D
197534	François-Xavier	BELLAMY	Abstain	FR	France	EPP	European People’s Party	EPP
197658	Adrian-Dragoş	BENEA	Did Not Vote	RO	Romania	SD	Progressive Alliance of Socialists and Democrats	S&D
124867	Brando	BENIFEI	For	IT	Italy	SD	Progressive Alliance of Socialists and Democrats	S&D
197679	Isabel	BENJUMEA BENJUMEA	Abstain	ES	Spain	EPP	European People’s Party	EPP
197408	Hildegard	BENTELE	For	DE	Germany	EPP	European People’s Party	EPP
197778	Tom	BERENDSEN	For	NL	Netherlands	EPP	European People’s Party	EPP
197478	Lars Patrick	BERG	For	DE	Germany	ECR	European Conservatives and Reformists	ECR
197410	Stefan	BERGER	Did Not Vote	DE	Germany	EPP	European People’s Party	EPP
4746	Sergio	BERLATO	Abstain	IT	Italy	ECR	European Conservatives and Reformists	ECR
197648	Alexander	BERNHUBER	Did Not Vote	AT	Austria	EPP	European People’s Party	EPP
23868	Monika	BEŇOVÁ	Against	SK	Slovakia	NI	Non-attached Members	Non-attached
197498	Robert	BIEDROŃ	For	PL	Poland	SD	Progressive Alliance of Socialists and Democrats	S&D
23788	Adam	BIELAN	Against	PL	Poland	ECR	European Conservatives and Reformists	ECR
238674	Theresa	BIELOWSKI	For	AT	Austria	SD	Progressive Alliance of Socialists and Democrats	S&D
197551	Stéphane	BIJOUX	For	FR	France	RENEW	Renew Europe	Renew
96922	Izaskun	BILBAO BARANDICA	For	ES	Spain	RENEW	Renew Europe	Renew
124771	Dominique	BILDE	Against	FR	France	ID	Identity and Democracy	ID
197771	Vladimír	BILČÍK	For	SK	Slovakia	EPP	European People’s Party	EPP
197435	Gabriele	BISCHOFF	For	DE	Germany	SD	Progressive Alliance of Socialists and Democrats	S&D
197512	Benoît	BITEAU	For	FR	France	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
124992	Malin	BJÖRK	For	SE	Sweden	GUE_NGL	The Left in the European Parliament – GUE/NGL	GUE/NGL
197637	Vasile	BLAGA	For	RO	Romania	EPP	European People’s Party	EPP
197564	Hynek	BLAŠKO	Against	CZ	Czechia	NI	Non-attached Members	Non-attached
96681	Vilija	BLINKEVIČIŪTĖ	For	LT	Lithuania	SD	Progressive Alliance of Socialists and Democrats	S&D
197449	Michael	BLOSS	For	DE	Germany	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
124712	Andrea	BOCSKOR	Against	HU	Hungary	NI	Non-attached Members	Non-attached
197439	Damian	BOESELAGER	For	DE	Germany	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
197636	Ioan-Rareş	BOGDAN	Did Not Vote	RO	Romania	EPP	European People’s Party	EPP
125004	Franc	BOGOVIČ	For	SI	Slovenia	EPP	European People’s Party	EPP
197788	Anna	BONFRISCO	Did Not Vote	IT	Italy	ID	Identity and Democracy	ID
101039	Paolo	BORCHIA	Against	IT	Italy	ID	Identity and Democracy	ID
112748	Biljana	BORZAN	For	HR	Croatia	SD	Progressive Alliance of Socialists and Democrats	S&D
187917	Marc	BOTENGA	Abstain	BE	Belgium	GUE_NGL	The Left in the European Parliament – GUE/NGL	GUE/NGL
197668	Vlad-Marius	BOTOŞ	For	RO	Romania	RENEW	Renew Europe	Renew
197467	Geert	BOURGEOIS	For	BE	Belgium	ECR	European Conservatives and Reformists	ECR
197577	Gilles	BOYER	For	FR	France	RENEW	Renew Europe	Renew
226260	Karolin	BRAUNSBERGER-REINHOLD	For	DE	Germany	EPP	European People’s Party	EPP
251324	Krzysztof	BREJZA	Against	PL	Poland	EPP	European People’s Party	EPP
28346	Mercedes	BRESSO	For	IT	Italy	SD	Progressive Alliance of Socialists and Democrats	S&D
197431	Patrick	BREYER	For	DE	Germany	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
197446	Milan	BRGLEZ	For	SI	Slovenia	SD	Progressive Alliance of Socialists and Democrats	S&D
197470	Saskia	BRICMONT	For	BE	Belgium	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
197501	Joachim Stanisław	BRUDZIŃSKI	Did Not Vote	PL	Poland	ECR	European Conservatives and Reformists	ECR
182995	Annika	BRUNA	Against	FR	France	ID	Identity and Democracy	ID
197576	Sylvie	BRUNET	For	FR	France	RENEW	Renew Europe	Renew
128483	Markus	BUCHHEIT	Against	DE	Germany	ID	Identity and Democracy	ID
125012	Daniel	BUDA	For	RO	Romania	EPP	European People’s Party	EPP
4267	Udo	BULLMANN	For	DE	Germany	SD	Progressive Alliance of Socialists and Democrats	S&D
197440	Delara	BURKHARDT	For	DE	Germany	SD	Progressive Alliance of Socialists and Democrats	S&D
197434	Martin	BUSCHMANN	For	DE	Germany	NI	Non-attached Members	Non-attached
197829	Jorge	BUXADÉ VILLALBA	For	ES	Spain	ECR	European Conservatives and Reformists	ECR
28269	Jerzy	BUZEK	For	PL	Poland	EPP	European People’s Party	EPP
38420	Cristian-Silviu	BUŞOI	For	RO	Romania	EPP	European People’s Party	EPP
96739	Reinhard	BÜTIKOFER	For	DE	Germany	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
197671	Traian	BĂSESCU	Did Not Vote	RO	Romania	EPP	European People’s Party	EPP
35016	Marco	CAMPOMENOSI	Against	IT	Italy	ID	Identity and Democracy	ID
96711	Pascal	CANFIN	For	FR	France	RENEW	Renew Europe	Renew
250572	Patricia	CARO MAYA	Against	ES	Spain	GUE_NGL	The Left in the European Parliament – GUE/NGL	GUE/NGL
199996	Isabel	CARVALHAIS	For	PT	Portugal	SD	Progressive Alliance of Socialists and Democrats	S&D
197574	Damien	CARÊME	Did Not Vote	FR	France	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
28122	David	CASA	For	MT	Malta	EPP	European People’s Party	EPP
197796	Massimo	CASANOVA	Did Not Vote	IT	Italy	ID	Identity and Democracy	ID
28219	Daniel	CASPARY	For	DE	Germany	EPP	European People’s Party	EPP
124812	Fabio Massimo	CASTALDO	For	IT	Italy	RENEW	Renew Europe	Renew
86793	Anna	CAVAZZINI	For	DE	Germany	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
126644	Jordi	CAÑAS	For	ES	Spain	RENEW	Renew Europe	Renew
197786	Susanna	CECCARDI	Did Not Vote	IT	Italy	ID	Identity and Democracy	ID
197641	Sara	CERDAS	For	PT	Portugal	SD	Progressive Alliance of Socialists and Democrats	S&D
197505	Catherine	CHABAUD	For	FR	France	RENEW	Renew Europe	Renew
236052	Patricia	CHAGNON	Against	FR	France	ID	Identity and Democracy	ID
197782	Mohammed	CHAHIM	For	NL	Netherlands	SD	Progressive Alliance of Socialists and Democrats	S&D
197529	Leila	CHAIBI	Against	FR	France	GUE_NGL	The Left in the European Parliament – GUE/NGL	GUE/NGL
124708	Dita	CHARANZOVÁ	For	CZ	Czechia	RENEW	Renew Europe	Renew
197463	Olivier	CHASTEL	For	BE	Belgium	RENEW	Renew Europe	Renew
124861	Caterina	CHINNICI	For	IT	Italy	EPP	European People’s Party	EPP
197558	Asger	CHRISTENSEN	For	DK	Denmark	RENEW	Renew Europe	Renew
204416	Ilana	CICUREL	For	FR	France	RENEW	Renew Europe	Renew
197507	Włodzimierz	CIMOSZEWICZ	For	PL	Poland	SD	Progressive Alliance of Socialists and Democrats	S&D
183793	Angelo	CIOCCA	Against	IT	Italy	ID	Identity and Democracy	ID
197631	Dacian	CIOLOŞ	Did Not Vote	RO	Romania	RENEW	Renew Europe	Renew
197657	Tudor	CIUHODARU	Abstain	RO	Romania	NI	Non-attached Members	Non-attached
245018	Christophe	CLERGEAU	For	FR	France	SD	Progressive Alliance of Socialists and Democrats	S&D
124988	Deirdre	CLUNE	For	IE	Ireland	EPP	European People’s Party	EPP
1892	Carlos	COELHO	For	PT	Portugal	EPP	European People’s Party	EPP
197536	Nathalie	COLIN-OESTERLÉ	Abstain	FR	France	EPP	European People’s Party	EPP
247737	Ana	COLLADO JIMÉNEZ	Abstain	ES	Spain	EPP	European People’s Party	EPP
197683	Gilbert	COLLARD	Did Not Vote	FR	France	NI	Non-attached Members	Non-attached
96775	Lara	COMI	For	IT	Italy	EPP	European People’s Party	EPP
202352	Antoni	COMÍN I OLIVERES	Did Not Vote	ES	Spain	NI	Non-attached Members	Non-attached
197616	Rosanna	CONTE	Against	IT	Italy	ID	Identity and Democracy	ID
197503	David	CORMAND	For	FR	France	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
124856	Ignazio	CORRAO	For	IT	Italy	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
240478	Beatrice	COVASSI	For	IT	Italy	SD	Progressive Alliance of Socialists and Democrats	S&D
96880	Andrea	COZZOLINO	For	IT	Italy	NI	Non-attached Members	Non-attached
33997	Corina	CREȚU	Did Not Vote	RO	Romania	SD	Progressive Alliance of Socialists and Democrats	S&D
197588	Katalin	CSEH	For	HU	Hungary	RENEW	Renew Europe	Renew
197654	Ciarán	CUFFE	For	IE	Ireland	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
197394	Josianne	CUTAJAR	For	MT	Malta	SD	Progressive Alliance of Socialists and Democrats	S&D
28372	Ryszard	CZARNECKI	Against	PL	Poland	ECR	European Conservatives and Reformists	ECR
124835	Rosa	D'AMATO	Did Not Vote	IT	Italy	GREEN_EFA	Greens/European Free Alliance	Greens/EFA
197608	Gianantonio	DA RE	Against	IT	Italy	ID	Identity and Democracy	ID
